lift,confidence,support,consequents,antecedents
37.04,1.0,0.001,white wine + pip fruit,cereals + sauces + liquor
37.04,1.0,0.001,white wine + potato products,cereals + sauces + liquor
37.04,1.0,0.001,brandy + potato products,cereals + sauces + liquor
37.04,1.0,0.001,spices + pip fruit,brandy + liquor + bottled water
37.04,1.0,0.002,curd + specialty chocolate,brandy + liquor + potato products
37.04,1.0,0.001,specialty vegetables + pudding powder,cereals + light bulbs + root vegetables
37.04,1.0,0.001,curd + liquor,white wine + liquor (appetizer) + nut snack
37.04,1.0,0.001,curd + potato products,brandy + liquor + soda
37.04,1.0,0.001,curd + specialty chocolate,brandy + liquor + soda
37.04,1.0,0.001,packaged fruit/vegetables + liquor (appetizer),brandy + liquor + bottled water
37.04,1.0,0.001,specialty chocolate + pip fruit,brandy + liquor + bottled water
37.04,1.0,0.001,liquor (appetizer) + sweet spreads,spices + pip fruit + cleaner
37.04,1.0,0.001,pip fruit + pudding powder,cereals + liquor + potato products
37.04,1.0,0.001,white wine + pip fruit,curd + root vegetables + soda
37.04,1.0,0.001,specialty vegetables + pudding powder,cereals + liquor + potato products
37.04,1.0,0.001,brandy + root vegetables,spices + male cosmetics + soda
35.71,1.0,0.001,curd + cleaner,butter + spices + male cosmetics
35.71,1.0,0.001,specialty chocolate + packaged fruit/vegetables,brandy + liquor + cleaner
35.71,1.0,0.001,light bulbs + root vegetables,white wine + sweet spreads + nut snack
35.71,1.0,0.001,bottled water + sweet spreads,butter + liquor + cleaner
35.71,1.0,0.001,light bulbs + liquor,curd + root vegetables + soda
35.71,1.0,0.001,light bulbs + white wine,curd + root vegetables + soda
35.71,1.0,0.001,light bulbs + liquor,packaged fruit/vegetables + potato products + pip fruit
35.71,1.0,0.001,light bulbs + white wine,sauces + liquor + bottled water
35.71,1.0,0.001,specialty chocolate + soda,light bulbs + pip fruit + pudding powder
35.71,1.0,0.001,brandy + white wine,cereals + sauces + liquor
35.71,1.0,0.001,specialty chocolate + packaged fruit/vegetables,brandy + liquor + bottled water
35.71,1.0,0.001,specialty chocolate + packaged fruit/vegetables,brandy + liquor + soda
35.71,1.0,0.001,spices + cleaner,root vegetables + bottled water + soda
35.71,1.0,0.001,brandy + white wine,cereals + liquor + potato products
34.48,1.0,0.001,specialty vegetables + pip fruit,cereals + sauces + liquor
34.48,1.0,0.001,brandy + specialty vegetables,cereals + liquor + potato products
34.48,1.0,0.001,white wine + specialty vegetables,brandy + liquor + pudding powder
34.48,1.0,0.001,white wine + specialty vegetables,cereals + liquor + potato products
34.48,1.0,0.001,specialty vegetables + pip fruit,brandy + liquor + pudding powder
34.48,1.0,0.001,liquor (appetizer) + tropical fruit,spices + specialty chocolate + light bulbs
34.48,1.0,0.001,potato products + root vegetables,baking powder + brandy + tropical fruit
34.48,1.0,0.001,light bulbs + liquor (appetizer),spices + curd + brandy
34.48,1.0,0.001,potato products + pip fruit,brandy + liquor + pudding powder
34.48,1.0,0.001,baking powder + root vegetables,bottled water + pip fruit + cleaner
34.48,1.0,0.002,spices + white wine,curd + liquor + tropical fruit
34.48,1.0,0.001,curd + specialty vegetables,brandy + liquor + pudding powder
34.48,1.0,0.001,specialty vegetables + pip fruit,cereals + liquor + potato products
34.48,1.0,0.001,liquor + root vegetables,specialty chocolate + light bulbs + pip fruit
34.48,1.0,0.001,tropical fruit + root vegetables,specialty chocolate + light bulbs + baking powder
34.48,1.0,0.001,light bulbs + liquor (appetizer),packaged fruit/vegetables + potato products + pip fruit
34.48,1.0,0.001,light bulbs + pip fruit,curd + root vegetables + soda
34.48,1.0,0.001,bottled water + pudding powder,specialty chocolate + light bulbs + baking powder
34.48,1.0,0.001,light bulbs + liquor (appetizer),specialty vegetables + pip fruit + soda
34.48,1.0,0.001,curd + specialty vegetables,cereals + sauces + liquor
34.48,1.0,0.001,cereals + liquor,packaged fruit/vegetables + liquor (appetizer) + bottled water
34.48,1.0,0.001,liquor + root vegetables,light bulbs + pip fruit + pudding powder
34.48,1.0,0.001,light bulbs + pip fruit,curd + specialty vegetables + tropical fruit
34.48,1.0,0.002,potato products + root vegetables,light bulbs + bottled water + sweet spreads
34.48,1.0,0.001,potato products + pip fruit,cereals + sauces + liquor
34.48,1.0,0.001,potato products + pip fruit,specialty chocolate + liquor + tropical fruit
34.48,1.0,0.001,brandy + specialty vegetables,cereals + sauces + liquor
34.48,1.0,0.001,specialty vegetables + pip fruit,specialty chocolate + liquor + tropical fruit
34.48,1.0,0.001,white wine + specialty vegetables,cereals + sauces + liquor
34.48,1.0,0.001,light bulbs + liquor (appetizer),specialty chocolate + packaged fruit/vegetables + specialty vegetables
34.48,1.0,0.001,curd + specialty vegetables,cereals + liquor + potato products
34.48,1.0,0.001,root vegetables + pip fruit,baking powder + bottled water + sweet spreads
33.33,1.0,0.001,spices + sweet spreads,brandy + cleaner + pudding powder
33.33,1.0,0.001,cleaner + nut snack,butter + spices + male cosmetics
33.33,1.0,0.001,spices + liquor,white wine + tropical fruit + nut snack
33.33,1.0,0.001,specialty vegetables + nut snack,cereals + liquor + potato products
33.33,0.67,0.002,white wine + nut snack,curd + bottled water + soda
33.33,1.0,0.001,spices + liquor,packaged fruit/vegetables + liquor (appetizer) + bottled water
33.33,1.0,0.001,spices + sweet spreads,light bulbs + brandy + tropical fruit
33.33,1.0,0.001,spices + specialty chocolate,light bulbs + brandy + tropical fruit
33.33,1.0,0.002,spices + liquor,specialty vegetables + male cosmetics + nut snack
33.33,1.0,0.001,tropical fruit + bottled water,specialty chocolate + light bulbs + baking powder
33.33,1.0,0.001,curd + root vegetables,specialty chocolate + light bulbs + baking powder
33.33,1.0,0.001,spices + specialty chocolate,baking powder + brandy + tropical fruit
33.33,1.0,0.001,specialty vegetables + nut snack,brandy + liquor + pudding powder
33.33,1.0,0.001,curd + brandy,cereals + liquor + potato products
33.33,1.0,0.001,specialty vegetables + nut snack,cereals + sauces + liquor
33.33,1.0,0.001,curd + brandy,cereals + sauces + liquor
33.33,1.0,0.001,tropical fruit + soda,white wine + liquor (appetizer) + nut snack
33.33,0.67,0.002,white wine + nut snack,brandy + liquor + specialty vegetables
33.33,1.0,0.001,spices + specialty chocolate,brandy + liquor + bottled water
33.33,1.0,0.001,spices + liquor,white wine + liquor (appetizer) + nut snack
33.33,1.0,0.001,curd + root vegetables,white wine + sweet spreads + nut snack
33.33,1.0,0.001,tropical fruit + bottled water,white wine + liquor (appetizer) + nut snack
33.33,1.0,0.001,spices + specialty chocolate,packaged fruit/vegetables + liquor (appetizer) + bottled water
33.33,1.0,0.003,curd + brandy,liquor (appetizer) + sweet spreads + nut snack
33.33,1.0,0.001,specialty vegetables + nut snack,specialty chocolate + root vegetables + sweet spreads
32.26,1.0,0.001,brandy + sweet spreads,spices + specialty chocolate + light bulbs
32.26,1.0,0.001,packaged fruit/vegetables + root vegetables,brandy + liquor + cleaner
32.26,1.0,0.001,specialty chocolate + male cosmetics,brandy + liquor + cleaner
32.26,1.0,0.001,brandy + nut snack,cereals + liquor + potato products
32.26,1.0,0.001,sweet spreads + soda,specialty chocolate + specialty vegetables + male cosmetics
32.26,1.0,0.001,brandy + sweet spreads,spices + male cosmetics + soda
32.26,1.0,0.001,specialty chocolate + brandy,cereals + liquor + potato products
32.26,1.0,0.002,spices + packaged fruit/vegetables,specialty vegetables + male cosmetics + nut snack
32.26,1.0,0.001,specialty chocolate + brandy,packaged fruit/vegetables + liquor (appetizer) + bottled water
32.26,1.0,0.001,male cosmetics + sweet spreads,butter + liquor + cleaner
32.26,1.0,0.001,bottled water + male cosmetics,butter + liquor + cleaner
32.26,1.0,0.002,bottled water + male cosmetics,sauces + light bulbs + cleaner
32.26,1.0,0.001,light bulbs + bottled water,curd + specialty vegetables + cleaner
32.26,1.0,0.001,bottled water + male cosmetics,curd + specialty vegetables + cleaner
32.26,1.0,0.001,brandy + nut snack,cereals + sauces + liquor
32.26,1.0,0.001,specialty chocolate + brandy,cereals + sauces + liquor
32.26,1.0,0.001,liquor + specialty vegetables,specialty chocolate + root vegetables + sweet spreads
32.26,1.0,0.001,male cosmetics + sweet spreads,spices + brandy + soda
32.26,1.0,0.001,packaged fruit/vegetables + root vegetables,white wine + sweet spreads + nut snack
32.26,1.0,0.001,spices + packaged fruit/vegetables,brandy + liquor + bottled water
32.26,1.0,0.001,liquor (appetizer) + pip fruit,brandy + liquor + bottled water
32.26,1.0,0.001,liquor + specialty vegetables,cereals + light bulbs + root vegetables
32.26,1.0,0.001,bottled water + nut snack,butter + liquor + cleaner
32.26,1.0,0.001,packaged fruit/vegetables + white wine,spices + potato products + male cosmetics
32.26,1.0,0.001,bottled water + nut snack,specialty chocolate + light bulbs + baking powder
32.26,1.0,0.001,specialty chocolate + male cosmetics,butter + liquor + cleaner
31.25,1.0,0.001,liquor + soda,specialty chocolate + specialty vegetables + male cosmetics
31.25,1.0,0.001,spices + root vegetables,baking powder + brandy + tropical fruit
31.25,1.0,0.001,liquor + soda,white wine + liquor (appetizer) + nut snack
31.25,1.0,0.001,specialty chocolate + nut snack,brandy + liquor + pudding powder
31.25,1.0,0.001,specialty chocolate + potato products,brandy + liquor + pudding powder
31.25,1.0,0.001,light bulbs + male cosmetics,curd + specialty vegetables + cleaner
31.25,1.0,0.001,specialty chocolate + potato products,baking powder + brandy + tropical fruit
31.25,1.0,0.001,specialty chocolate + potato products,brandy + liquor + soda
31.25,1.0,0.001,specialty chocolate + liquor (appetizer),brandy + liquor + bottled water
31.25,1.0,0.001,packaged fruit/vegetables + pip fruit,brandy + liquor + bottled water
31.25,1.0,0.001,liquor + soda,light bulbs + pip fruit + pudding powder
31.25,1.0,0.001,specialty chocolate + liquor,light bulbs + pip fruit + pudding powder
31.25,1.0,0.001,brandy + liquor (appetizer),specialty chocolate + packaged fruit/vegetables + sweet spreads
31.25,1.0,0.001,specialty chocolate + nut snack,cereals + sauces + liquor
31.25,1.0,0.002,liquor (appetizer) + root vegetables,potato products + specialty vegetables + male cosmetics
31.25,1.0,0.001,specialty chocolate + potato products,cereals + sauces + liquor
31.25,1.0,0.001,liquor + soda,specialty chocolate + light bulbs + pip fruit
31.25,1.0,0.001,specialty chocolate + nut snack,butter + liquor + cleaner
31.25,1.0,0.001,baking powder + liquor (appetizer),curd + potato products + root vegetables
31.25,1.0,0.001,specialty chocolate + liquor (appetizer),curd + potato products + root vegetables
31.25,1.0,0.001,specialty chocolate + liquor,packaged fruit/vegetables + liquor (appetizer) + bottled water
31.25,1.0,0.001,light bulbs + male cosmetics,packaged fruit/vegetables + potato products + pip fruit
31.25,1.0,0.001,brandy + liquor (appetizer),spices + specialty chocolate + light bulbs
31.25,1.0,0.001,liquor + soda,white wine + tropical fruit + nut snack
31.25,1.0,0.001,specialty chocolate + liquor (appetizer),light bulbs + brandy + tropical fruit
31.25,1.0,0.001,specialty chocolate + nut snack,cereals + liquor + potato products
30.3,1.0,0.001,spices + potato products,brandy + cleaner + pudding powder
30.3,1.0,0.001,liquor + sweet spreads,specialty chocolate + specialty vegetables + male cosmetics
30.3,1.0,0.001,curd + nut snack,butter + spices + male cosmetics
30.3,1.0,0.001,curd + bottled water,white wine + tropical fruit + nut snack
30.3,1.0,0.001,liquor + white wine,curd + root vegetables + soda
30.3,1.0,0.001,curd + bottled water,specialty chocolate + light bulbs + baking powder
30.3,1.0,0.001,curd + pudding powder,specialty chocolate + light bulbs + baking powder
30.3,1.0,0.001,curd + nut snack,specialty chocolate + light bulbs + baking powder
30.3,1.0,0.002,packaged fruit/vegetables + liquor,specialty vegetables + male cosmetics + nut snack
30.3,1.0,0.001,pip fruit + cleaner,curd + root vegetables + soda
30.3,1.0,0.001,curd + sweet spreads,spices + male cosmetics + pudding powder
30.3,1.0,0.001,white wine + cleaner,curd + root vegetables + soda
30.3,1.0,0.001,curd + pudding powder,cereals + liquor + potato products
30.3,1.0,0.001,spices + tropical fruit,white wine + liquor (appetizer) + male cosmetics
30.3,1.0,0.001,spices + tropical fruit,white wine + liquor (appetizer) + nut snack
30.3,1.0,0.001,spices + tropical fruit,root vegetables + bottled water + soda
30.3,1.0,0.001,curd + sweet spreads,specialty chocolate + specialty vegetables + male cosmetics
30.3,1.0,0.001,curd + pudding powder,cereals + sauces + liquor
30.3,1.0,0.001,curd + bottled water,white wine + liquor (appetizer) + nut snack
30.3,1.0,0.001,baking powder + white wine,spices + potato products + male cosmetics
30.3,1.0,0.001,baking powder + tropical fruit,spices + potato products + male cosmetics
30.3,1.0,0.001,curd + nut snack,brandy + liquor + pudding powder
30.3,1.0,0.001,spices + potato products,baking powder + brandy + tropical fruit
30.3,1.0,0.001,baking powder + white wine,sauces + liquor + bottled water
30.3,1.0,0.001,specialty chocolate + sweet spreads,butter + liquor + cleaner
30.3,1.0,0.001,specialty chocolate + sweet spreads,light bulbs + brandy + tropical fruit
30.3,1.0,0.001,pip fruit + cleaner,baking powder + bottled water + sweet spreads
30.3,1.0,0.001,curd + nut snack,cereals + liquor + potato products
30.3,1.0,0.001,curd + nut snack,cereals + sauces + liquor
30.3,1.0,0.001,specialty chocolate + bottled water,butter + liquor + cleaner
29.41,1.0,0.001,liquor + nut snack,packaged fruit/vegetables + potato products + pip fruit
29.41,1.0,0.001,liquor + pip fruit,curd + root vegetables + soda
29.41,1.0,0.001,brandy + pip fruit,cereals + liquor + potato products
29.41,1.0,0.001,cereals + male cosmetics,light bulbs + white wine + pudding powder
29.41,1.0,0.001,cereals + potato products,brandy + liquor + pudding powder
29.41,1.0,0.001,specialty chocolate + pudding powder,cereals + liquor + potato products
29.41,1.0,0.001,spices + curd,white wine + liquor (appetizer) + male cosmetics
29.41,1.0,0.001,spices + curd,white wine + liquor (appetizer) + nut snack
29.41,1.0,0.001,spices + curd,white wine + tropical fruit + nut snack
29.41,1.0,0.001,brandy + pip fruit,cereals + sauces + liquor
29.41,1.0,0.001,specialty chocolate + pudding powder,cereals + sauces + liquor
29.41,1.0,0.001,cereals + male cosmetics,light bulbs + tropical fruit + cleaner
29.41,1.0,0.001,liquor + nut snack,specialty chocolate + root vegetables + sweet spreads
29.41,1.0,0.001,brandy + pip fruit,packaged fruit/vegetables + liquor (appetizer) + bottled water
29.41,1.0,0.001,curd + liquor (appetizer),white wine + tropical fruit + nut snack
29.41,1.0,0.001,liquor + pip fruit,sauces + liquor (appetizer) + specialty vegetables
29.41,1.0,0.001,baking powder + potato products,sauces + liquor + bottled water
29.41,1.0,0.001,light bulbs + potato products,sauces + liquor + bottled water
29.41,1.0,0.001,liquor + pip fruit,packaged fruit/vegetables + liquor (appetizer) + bottled water
29.41,1.0,0.001,spices + light bulbs,specialty vegetables + pip fruit + soda
28.57,1.0,0.001,cereals + pip fruit,brandy + liquor + bottled water
28.57,1.0,0.001,butter + tropical fruit,white wine + liquor (appetizer) + nut snack
28.57,1.0,0.001,root vegetables + male cosmetics,brandy + liquor + cleaner
28.57,1.0,0.001,root vegetables + male cosmetics,spices + brandy + soda
28.57,1.0,0.001,butter + light bulbs,spices + curd + brandy
28.57,1.0,0.001,curd + packaged fruit/vegetables,white wine + sweet spreads + nut snack
28.57,1.0,0.001,spices + liquor (appetizer),light bulbs + brandy + tropical fruit
28.57,1.0,0.001,curd + packaged fruit/vegetables,brandy + liquor + soda
28.57,1.0,0.001,cereals + pip fruit,packaged fruit/vegetables + liquor (appetizer) + bottled water
28.57,1.0,0.001,butter + light bulbs,curd + specialty vegetables + tropical fruit
28.57,1.0,0.001,cereals + pip fruit,baking powder + bottled water + sweet spreads
28.57,1.0,0.001,liquor (appetizer) + male cosmetics,packaged fruit/vegetables + potato products + pip fruit
28.57,1.0,0.001,cereals + pip fruit,brandy + liquor + pudding powder
28.57,1.0,0.001,spices + liquor (appetizer),specialty vegetables + pip fruit + soda
28.57,1.0,0.001,liquor + male cosmetics,packaged fruit/vegetables + potato products + pip fruit
28.57,1.0,0.001,sauces + liquor (appetizer),spices + specialty chocolate + light bulbs
28.57,1.0,0.001,sauces + liquor (appetizer),light bulbs + brandy + tropical fruit
28.57,1.0,0.001,curd + packaged fruit/vegetables,spices + male cosmetics + pudding powder
28.57,1.0,0.002,liquor + male cosmetics,packaged fruit/vegetables + liquor (appetizer) + nut snack
28.57,1.0,0.001,sauces + cleaner,butter + spices + male cosmetics
28.57,1.0,0.001,spices + liquor (appetizer),white wine + tropical fruit + nut snack
28.57,1.0,0.001,root vegetables + male cosmetics,spices + sweet spreads + soda
28.57,1.0,0.001,liquor (appetizer) + male cosmetics,specialty chocolate + packaged fruit/vegetables + sweet spreads
28.57,1.0,0.001,spices + liquor (appetizer),brandy + liquor + bottled water
27.78,0.5,0.001,liquor + cleaner,spices + soda + pudding powder
27.78,1.0,0.001,sauces + nut snack,brandy + tropical fruit + bottled water
27.78,1.0,0.001,sauces + nut snack,butter + spices + male cosmetics
27.78,1.0,0.001,specialty vegetables + root vegetables,baking powder + brandy + tropical fruit
27.78,0.5,0.001,liquor + cleaner,light bulbs + bottled water + sweet spreads
27.78,0.67,0.002,baking powder + bottled water,light bulbs + tropical fruit + pudding powder
27.78,0.67,0.002,spices + soda,liquor (appetizer) + root vegetables + pip fruit
27.78,1.0,0.001,sauces + potato products,specialty chocolate + liquor + tropical fruit
27.78,0.67,0.002,light bulbs + tropical fruit,baking powder + pudding powder + nut snack
27.78,1.0,0.001,cereals + packaged fruit/vegetables,brandy + liquor + bottled water
27.78,1.0,0.001,sauces + nut snack,cereals + liquor + potato products
27.78,1.0,0.001,sauces + male cosmetics,curd + specialty vegetables + cleaner
27.78,0.5,0.001,liquor + cleaner,white wine + pip fruit + soda
27.78,0.67,0.002,baking powder + pip fruit,brandy + bottled water + pudding powder
27.78,1.0,0.001,sauces + nut snack,brandy + liquor + pudding powder
27.78,1.0,0.002,sauces + male cosmetics,root vegetables + sweet spreads + pudding powder
27.78,1.0,0.001,sauces + potato products,brandy + liquor + pudding powder
27.78,0.67,0.002,baking powder + pip fruit,potato products + soda + pudding powder
27.78,1.0,0.001,sauces + light bulbs,spices + potato products + soda
